"",001
"Thu 02-Aug-18   3:20:20 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,3,19,"",1.78723,0,0,0,0,0,0,0.148466,0.0291811,0,0,0,0.313074,0.967127,0.0375071,0.265759,0,0,0,0.0261209,0,0,0,0
"MtrElec",1,3,20,"",1.95033,0,0,0,0,0,0,0.162505,0.0291811,0,0,0,0.436067,1.00451,0.0468839,0.256602,0,0,0,0.0145791,0,0,0,0
"MtrElec",1,3,21,"",1.99308,0,0,0,0,0,0,0.186214,0.0291811,0,0,0,0.421159,1.04058,0.064856,0.244616,0,0,0,0.0064796,0,0,0,0
"MtrElec",1,3,22,"",1.94077,0,0,0,0,0,0,0.211137,0.0291811,0,0,0,0.357799,1.02999,0.076577,0.233254,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,3,23,"",1.6977,0,0,0,0,0,0,0.244148,0.0291811,0,0,0,0.234805,0.920937,0.0664188,0.200383,0,0,0,0.00182239,0,0,0,0
"MtrElec",1,3,24,"",1.22595,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.786693,0.0461025,0.217603,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,4,1,"",0.987565,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.648036,0.0359443,0.187668,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,4,2,"",0.91213,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.597667,0.0359443,0.177714,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,4,3,"",0.860132,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.567455,0.0351629,0.171819,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,4,4,"",0.931481,0,0,0,0,0,0,0.0719945,0.0291811,0,0,0,0.0633602,0.566142,0.0351629,0.165033,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,4,5,"",0.962697,0,0,0,0,0,0,0.129357,0.0291811,0,0,0,0.0782685,0.537844,0.0359443,0.151495,0,0,0,0.000607462,0,0,0,0
"MtrElec",1,4,6,"",1.06572,0,0,0,0,0,0,0.153538,0.0291811,0,0,0,0.115539,0.582646,0.0351629,0.148644,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,4,7,"",1.64878,0,0,0,0,0,0,0.628486,0.0291811,0,0,0,0.156537,0.653582,0.0343815,0.144585,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,4,8,"",1.92805,0,0,0,0,0,0,0.837726,0.0291811,0,0,0,0.15281,0.700781,0.0320373,0.170045,0,0,0,0.00546716,0,0,0,0
"MtrElec",1,4,9,"",1.60403,0,0,0,0,0,0,0.531936,0.0291811,0,0,0,0.12672,0.657854,0.0281303,0.220493,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,4,10,"",1.39849,0,0,0,0,0,0,0.390415,0.0291811,0,0,0,0.108085,0.631857,0.0234419,0.205787,0,0,0,0.00971939,0,0,0,0
"MtrElec",1,4,11,"",1.31204,0,0,0,0,0,0,0.3059,0.0291811,0,0,0,0.100631,0.642931,0.0187536,0.205328,0,0,0,0.00931442,0,0,0,0
"MtrElec",1,4,12,"",1.23572,0,0,0,0,0,0,0.245095,0.0291811,0,0,0,0.0931768,0.633302,0.0125024,0.211329,0,0,0,0.0111368,0,0,0,0
"MtrElec",1,4,13,"",1.16856,0,0,0,0,0,0,0.193334,0.0291811,0,0,0,0.0782685,0.627445,0.00937678,0.218194,0,0,0,0.0127567,0,0,0,0
"MtrElec",1,4,14,"",1.14629,0,0,0,0,0,0,0.147804,0.0291811,0,0,0,0.0782685,0.64629,0.00859538,0.224208,0,0,0,0.0119468,0,0,0,0
"MtrElec",1,4,15,"",1.14485,0,0,0,0,0,0,0.117029,0.0291811,0,0,0,0.0782685,0.677331,0.00859538,0.221888,0,0,0,0.0125542,0,0,0,0
"MtrElec",1,4,16,"",1.19889,0,0,0,0,0,0,0.101705,0.0291811,0,0,0,0.0969038,0.711969,0.00937678,0.235985,0,0,0,0.0137691,0,0,0,0
"MtrElec",1,4,17,"",1.31294,0,0,0,0,0,0,0.113891,0.0291811,0,0,0,0.115539,0.798579,0.0148466,0.222481,0,0,0,0.0184264,0,0,0,0
"MtrElec",1,4,18,"",1.51932,0,0,0,0,0,0,0.129407,0.0291811,0,0,0,0.163991,0.900499,0.0296931,0.238402,0,0,0,0.0281457,0,0,0,0
"MtrElec",1,4,19,"",2.05844,0,0,0,0,0,0,0.122416,0.0291811,0,0,0,0.313074,0.967127,0.0375071,0.26618,0,0,0.296831,0.0261209,0,0,0,0
"MtrElec",1,4,20,"",2.84314,0,0,0,0,0,0,0.0813996,0.0291811,0,0,0,0.436067,1.00451,0.0468839,0.256884,0,0.125372,0.848258,0.0145791,0,0,0,0
"MtrElec",1,4,21,"",2.8576,0,0,0,0,0,0,0.0736196,0.0291811,0,0,0,0.421159,1.04058,0.064856,0.244922,0,0.358279,0.618529,0.0064796,0,0,0,0
"MtrElec",1,4,22,"",2.14029,0,0,0,0,0,0,0.148872,0.0291811,0,0,0,0.357799,1.02999,0.076577,0.233789,0,0.261248,0,0.00283482,0,0,0,0
"MtrElec",1,4,23,"",1.67519,0,0,0,0,0,0,0.220571,0.0291811,0,0,0,0.234805,0.920937,0.0664188,0.201454,0,0,0,0.00182239,0,0,0,0
"MtrElec",1,4,24,"",1.22678,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.786693,0.0461025,0.218433,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,5,1,"",0.97536,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.17732,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,5,2,"",0.902829,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.175179,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,5,3,"",0.856547,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.165819,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,5,4,"",0.857057,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.162046,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,5,5,"",0.881252,0,0,0,0,0,0,0.0472713,0.0291811,0,0,0,0.0782685,0.539276,0.0359443,0.150501,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,5,6,"",0.991302,0,0,0,0,0,0,0.0832542,0.0291811,0,0,0,0.115539,0.584078,0.0289117,0.147503,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,5,7,"",1.61367,0,0,0,0,0,0,0.54939,0.0291811,0,0,0,0.156537,0.664831,0.0273489,0.182537,0,0,0,0.00384726,0,0,0,0
"MtrElec",1,5,8,"",1.93631,0,0,0,0,0,0,0.790249,0.0291811,0,0,0,0.15281,0.713887,0.0265675,0.218548,0,0,0,0.00506218,0,0,0,0
"MtrElec",1,5,9,"",2.88802,0,0,0,0,0,0,0.39171,0.0291811,0,0,0,0.12672,0.660905,0.0257861,0.211078,1.43738,0,0,0.00526467,0,0,0,0
"MtrElec",1,5,10,"",2.31166,0,0,0,0,0,0,0.302718,0.0291811,0,0,0,0.108085,0.620371,0.0218791,0.186612,1.03836,0,0,0.00445472,0,0,0,0
"MtrElec",1,5,11,"",1.23651,0,0,0,0,0,0,0.274219,0.0291811,0,0,0,0.100631,0.628275,0.0171908,0.182759,0,0,0,0.00425223,0,0,0,0
"MtrElec",1,5,12,"",1.18228,0,0,0,0,0,0,0.224602,0.0291811,0,0,0,0.0931768,0.628275,0.011721,0.189448,0,0,0,0.00587213,0,0,0,0
"MtrElec",1,5,13,"",1.13877,0,0,0,0,0,0,0.182838,0.0291811,0,0,0,0.0782685,0.628758,0.00937678,0.203258,0,0,0,0.00708706,0,0,0,0
"MtrElec",1,5,14,"",1.10956,0,0,0,0,0,0,0.146453,0.0291811,0,0,0,0.0782685,0.642693,0.00859538,0.197889,0,0,0,0.0064796,0,0,0,0
"MtrElec",1,5,15,"",1.11821,0,0,0,0,0,0,0.121502,0.0291811,0,0,0,0.0782685,0.666083,0.00859538,0.207701,0,0,0,0.00688457,0,0,0,0
"MtrElec",1,5,16,"",1.1447,0,0,0,0,0,0,0.103179,0.0291811,0,0,0,0.0969038,0.686183,0.00937678,0.209351,0,0,0,0.0105293,0,0,0,0
"MtrElec",1,5,17,"",1.67037,0,0,0,0,0,0,0.0854272,0.0291811,0,0,0,0.115539,0.77465,0.0148466,0.209906,0,0,0.417529,0.023286,0,0,0,0
"MtrElec",1,5,18,"",2.08608,0,0,0,0,0,0,0.0631067,0.0291811,0,0,0,0.163991,0.890989,0.0289117,0.230234,0,0.176352,0.464236,0.0390801,0,0,0,0
"MtrElec",1,5,19,"",1.92864,0,0,0,0,0,0,0.0938117,0.0291811,0,0,0,0.313074,0.968866,0.0382885,0.252893,0,0.196079,0,0.0364477,0,0,0,0
"MtrElec",1,5,20,"",1.95387,0,0,0,0,0,0,0.142648,0.0291811,0,0,0,0.436067,1.01762,0.0507909,0.257719,0,0,0,0.0198438,0,0,0,0
"MtrElec",1,5,21,"",1.99459,0,0,0,0,0,0,0.16528,0.0291811,0,0,0,0.421159,1.06002,0.0711072,0.239335,0,0,0,0.00850447,0,0,0,0
"MtrElec",1,5,22,"",1.9365,0,0,0,0,0,0,0.189827,0.0291811,0,0,0,0.357799,1.05129,0.0820468,0.222305,0,0,0,0.00404975,0,0,0,0
"MtrElec",1,5,23,"",1.69348,0,0,0,0,0,0,0.219463,0.0291811,0,0,0,0.234805,0.932305,0.0711072,0.204191,0,0,0,0.00242985,0,0,0,0
"MtrElec",1,5,24,"",1.20399,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.801007,0.0492281,0.177197,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,6,1,"",0.974658,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.176619,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,6,2,"",0.902255,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.174605,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,6,3,"",0.85594,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.165212,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,6,4,"",0.856595,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.161584,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,6,5,"",0.867099,0,0,0,0,0,0,0.0333758,0.0291811,0,0,0,0.0782685,0.539276,0.0359443,0.150244,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,6,6,"",0.969556,0,0,0,0,0,0,0.0614408,0.0291811,0,0,0,0.115539,0.584078,0.0289117,0.14757,0,0,0,0.00283482,0,0,0,0
"MtrElec",1,6,7,"",1.56687,0,0,0,0,0,0,0.502148,0.0291811,0,0,0,0.156537,0.664831,0.0273489,0.182981,0,0,0,0.00384726,0,0,0,0
"MtrElec",1,6,8,"",1.88916,0,0,0,0,0,0,0.742157,0.0291811,0,0,0,0.15281,0.713887,0.0265675,0.219499,0,0,0,0.00506218,0,0,0,0
"MtrElec",1,6,9,"",1.49734,0,0,0,0,0,0,0.436389,0.0291811,0,0,0,0.12672,0.660905,0.0257861,0.213093,0,0,0,0.00526467,0,0,0,0
"MtrElec",1,6,10,"",1.31945,0,0,0,0,0,0,0.346295,0.0291811,0,0,0,0.108085,0.620371,0.0218791,0.189187,0,0,0,0.00445472,0,0,0,0
"MtrElec",1,6,11,"",1.24969,0,0,0,0,0,0,0.286231,0.0291811,0,0,0,0.100631,0.628275,0.0171908,0.183928,0,0,0,0.00425223,0,0,0,0
"MtrElec",1,6,12,"",1.20462,0,0,0,0,0,0,0.248065,0.0291811,0,0,0,0.0931768,0.628275,0.011721,0.188327,0,0,0,0.00587213,0,0,0,0
"MtrElec",1,6,13,"",2.44348,0,0,0,0,0,0,0.164976,0.0291811,0,0,0,0.0782685,0.628758,0.00937678,0.200823,0,0,1.32501,0.00708706,0,0,0,0
"MtrElec",1,6,14,"",2.06358,0,0,0,0,0,0,0.105637,0.0291811,0,0,0,0.0782685,0.642693,0.00859538,0.193995,0,0.559643,0.439085,0.0064796,0,0,0,0
"MtrElec",1,6,15,"",1.3591,0,0,0,0,0,0,0.181387,0.0291811,0,0,0,0.0782685,0.666083,0.00859538,0.203242,0,0.185457,0,0.00688457,0,0,0,0
"MtrElec",1,6,16,"",1.22235,0,0,0,0,0,0,0.186729,0.0291811,0,0,0,0.0969038,0.686183,0.00937678,0.203446,0,0,0,0.0105293,0,0,0,0
"MtrElec",1,6,17,"",1.33606,0,0,0,0,0,0,0.176465,0.0291811,0,0,0,0.115539,0.77465,0.0148466,0.202088,0,0,0,0.023286,0,0,0,0
"MtrElec",1,6,18,"",1.543,0,0,0,0,0,0,0.167545,0.0291811,0,0,0,0.163991,0.890989,0.0289117,0.223305,0,0,0,0.0390801,0,0,0,0
"MtrElec",1,6,19,"",3.01392,0,0,0,0,0,0,0.1076,0.0291811,0,0,0,0.313074,0.968866,0.0382885,0.248117,1.27235,0,0,0.0364477,0,0,0,0
"MtrElec",1,6,20,"",3.11588,0,0,0,0,0,0,0.104692,0.0291811,0,0,0,0.436067,1.01762,0.0507909,0.254889,1.2028,0,0,0.0198438,0,0,0,0
"MtrElec",1,6,21,"",3.65825,0,0,0,0,0,0,0.0667073,0.0291811,0,0,0,0.421159,1.06002,0.0711072,0.237187,0,0,1.76438,0.00850447,0,0,0,0
"MtrElec",1,6,22,"",2.53991,0,0,0,0,0,0,0.0490465,0.0291811,0,0,0,0.357799,1.05129,0.0820468,0.221277,0,0.74522,0,0.00404975,0,0,0,0
"MtrElec",1,6,23,"",1.67749,0,0,0,0,0,0,0.203436,0.0291811,0,0,0,0.234805,0.932305,0.0711072,0.204228,0,0,0,0.00242985,0,0,0,0
"MtrElec",1,6,24,"",1.205,0,0,0,0,0,0,0,0.0291811,0,0,0,0.145356,0.801007,0.0492281,0.178202,0,0,0,0.00202487,0,0,0,0
"MtrElec",1,7,1,"",0.976273,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0857226,0.646179,0.0359443,0.178234,0,0,0,0.00101244,0,0,0,0
"MtrElec",1,7,2,"",0.903974,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0708143,0.590901,0.0359443,0.176324,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,7,3,"",0.858083,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0559061,0.568886,0.0359443,0.167356,0,0,0,0.000809949,0,0,0,0
"MtrElec",1,7,4,"",0.859044,0,0,0,0,0,0,0,0.0291811,0,0,0,0.0633602,0.565716,0.0359443,0.164032,0,0,0,0.000809949,0,0,0,0
